ID,DataRow ID,Labeled Data,Label,Created By,Project Name,Created At,Updated At,Seconds to Label,External ID,Agreement,Benchmark Agreement,Benchmark ID,Benchmark Reference ID,Dataset Name,Reviews,View Label,Has Open Issues
ckmehncde000230698ir6sh4f,ckmehi5hy0tp80rdpg3sf7guy,https://storage.labelbox.com/ckmeafy6i091u08483ooycubu%2Fc1d1e414-0c1c-fed4-06d0-be296db74861-IMG20210317211809.jpg?Expires=1617267586906&KeyName=labelbox-assets-key-1&Signature=TcFyMSnvXx--OFdod7vmb540Atw,"{""objects"":[{""featureId"":""ckmehmt3000003069lkjp4c2r"",""schemaId"":""ckmehlqhb0a6j0y7e82wedgkf"",""title"":""cutter"",""value"":""cutter"",""color"":""#1CE6FF"",""instanceURI"":""https://api.labelbox.com/masks/feature/ckmehmt3000003069lkjp4c2r?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja21lYWZ5NnlwNDFzMDc4OW44bnJvcndnIiwib3JnYW5pemF0aW9uSWQiOiJja21lYWZ5NmkwOTF1MDg0ODNvb3ljdWJ1IiwiaWF0IjoxNjE2MDU3OTg2LCJleHAiOjE2MTg2NDk5ODZ9.BKmAPK55MtbHBZAgqmEBrlfq57CsDHRMLPrdtiYTO0M""}],""classifications"":[]}",rizqipangestu@mail.ugm.ac.id,Cutter,1616048662000,1616048766000,34.102000000000004,IMG20210317211809.jpg,-1,-1,,,dataset_cutter,[],https://editor.labelbox.com?project=ckmeapslvgj800731ykk3egdk&label=ckmehncde000230698ir6sh4f,0
ckmehnvi500053069urhzuixn,ckmehi5hy0tpk0rdp8vpxh562,https://storage.labelbox.com/ckmeafy6i091u08483ooycubu%2F33c5f5a3-f84b-8b5c-4b02-03a896c20b27-IMG20210317211820.jpg?Expires=1617267586915&KeyName=labelbox-assets-key-1&Signature=xhelq1yExDeUO9k6uvY8FUKxgcg,"{""objects"":[{""featureId"":""ckmehnew80003306967tagsx0"",""schemaId"":""ckmehlqhb0a6j0y7e82wedgkf"",""title"":""cutter"",""value"":""cutter"",""color"":""#1CE6FF"",""instanceURI"":""https://api.labelbox.com/masks/feature/ckmehnew80003306967tagsx0?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja21lYWZ5NnlwNDFzMDc4OW44bnJvcndnIiwib3JnYW5pemF0aW9uSWQiOiJja21lYWZ5NmkwOTF1MDg0ODNvb3ljdWJ1IiwiaWF0IjoxNjE2MDU3OTg2LCJleHAiOjE2MTg2NDk5ODZ9.BKmAPK55MtbHBZAgqmEBrlfq57CsDHRMLPrdtiYTO0M""}],""classifications"":[]}",rizqipangestu@mail.ugm.ac.id,Cutter,1616048687000,1616048770000,22.156,IMG20210317211820.jpg,-1,-1,,,dataset_cutter,[],https://editor.labelbox.com?project=ckmeapslvgj800731ykk3egdk&label=ckmehnvi500053069urhzuixn,0
ckmehod5o00083069s8f925gx,ckmehi5hy0tpw0rdp4dw6htro,https://storage.labelbox.com/ckmeafy6i091u08483ooycubu%2F87cba9df-908c-9214-f5dc-c847e0b90a15-IMG20210317211842.jpg?Expires=1617267586917&KeyName=labelbox-assets-key-1&Signature=z0vkB1gBULKB-rjGeiBW3QpyTaY,"{""objects"":[{""featureId"":""ckmeho0ho000630695qeyxc5j"",""schemaId"":""ckmehlqhb0a6j0y7e82wedgkf"",""title"":""cutter"",""value"":""cutter"",""color"":""#1CE6FF"",""instanceURI"":""https://api.labelbox.com/masks/feature/ckmeho0ho000630695qeyxc5j?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja21lYWZ5NnlwNDFzMDc4OW44bnJvcndnIiwib3JnYW5pemF0aW9uSWQiOiJja21lYWZ5NmkwOTF1MDg0ODNvb3ljdWJ1IiwiaWF0IjoxNjE2MDU3OTg2LCJleHAiOjE2MTg2NDk5ODZ9.BKmAPK55MtbHBZAgqmEBrlfq57CsDHRMLPrdtiYTO0M""}],""classifications"":[]}",rizqipangestu@mail.ugm.ac.id,Cutter,1616048710000,1616048774000,24.179000000000002,IMG20210317211842.jpg,-1,-1,,,dataset_cutter,[],https://editor.labelbox.com?project=ckmeapslvgj800731ykk3egdk&label=ckmehod5o00083069s8f925gx,0
ckmehowek000b30693221e61w,ckmehi5hy0tq80rdp3ssebp0j,https://storage.labelbox.com/ckmeafy6i091u08483ooycubu%2Fa0821530-ad78-7667-bfbb-3e0beacf7289-IMG20210317211900.jpg?Expires=1617267586918&KeyName=labelbox-assets-key-1&Signature=4oH8Ns-EPcSfI_Z__UOcQM4D4s8,"{""objects"":[{""featureId"":""ckmehogtu00093069a8bumnzp"",""schemaId"":""ckmehlqhb0a6j0y7e82wedgkf"",""title"":""cutter"",""value"":""cutter"",""color"":""#1CE6FF"",""instanceURI"":""https://api.labelbox.com/masks/feature/ckmehogtu00093069a8bumnzp?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja21lYWZ5NnlwNDFzMDc4OW44bnJvcndnIiwib3JnYW5pemF0aW9uSWQiOiJja21lYWZ5NmkwOTF1MDg0ODNvb3ljdWJ1IiwiaWF0IjoxNjE2MDU3OTg2LCJleHAiOjE2MTg2NDk5ODZ9.BKmAPK55MtbHBZAgqmEBrlfq57CsDHRMLPrdtiYTO0M""}],""classifications"":[]}",rizqipangestu@mail.ugm.ac.id,Cutter,1616048735000,1616048777091,20.685,IMG20210317211900.jpg,,-1,,,dataset_cutter,[],https://editor.labelbox.com?project=ckmeapslvgj800731ykk3egdk&label=ckmehowek000b30693221e61w,0
ckmehpcx9000e3069bsyy6pe0,ckmehi5hx0tn00rdphmftey6a,https://storage.labelbox.com/ckmeafy6i091u08483ooycubu%2F2037b066-b883-b9cc-4483-32e543be4ff7-IMG20210317211659.jpg?Expires=1617267586918&KeyName=labelbox-assets-key-1&Signature=hULtcqc8nGINyx-cKah7DT20SGY,"{""objects"":[{""featureId"":""ckmehozgb000c3069ss2za509"",""schemaId"":""ckmehlqhb0a6j0y7e82wedgkf"",""title"":""cutter"",""value"":""cutter"",""color"":""#1CE6FF"",""instanceURI"":""https://api.labelbox.com/masks/feature/ckmehozgb000c3069ss2za509?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja21lYWZ5NnlwNDFzMDc4OW44bnJvcndnIiwib3JnYW5pemF0aW9uSWQiOiJja21lYWZ5NmkwOTF1MDg0ODNvb3ljdWJ1IiwiaWF0IjoxNjE2MDU3OTg2LCJleHAiOjE2MTg2NDk5ODZ9.BKmAPK55MtbHBZAgqmEBrlfq57CsDHRMLPrdtiYTO0M""}],""classifications"":[]}",rizqipangestu@mail.ugm.ac.id,Cutter,1616048758000,1616048781000,22.242,IMG20210317211659.jpg,-1,-1,,,dataset_cutter,[],https://editor.labelbox.com?project=ckmeapslvgj800731ykk3egdk&label=ckmehpcx9000e3069bsyy6pe0,0
ckmehpscm000h3069eobchx7c,ckmehi5hy0tqk0rdp89ec9dht,https://storage.labelbox.com/ckmeafy6i091u08483ooycubu%2F0405d70a-5a45-8373-cd18-0d2a9d701e35-IMG20210317211913.jpg?Expires=1617267586919&KeyName=labelbox-assets-key-1&Signature=IVhV9koxHJlJVyhXQmKm0xcOhZk,"{""objects"":[{""featureId"":""ckmehphax000f30696njwhf7e"",""schemaId"":""ckmehlqhb0a6j0y7e82wedgkf"",""title"":""cutter"",""value"":""cutter"",""color"":""#1CE6FF"",""instanceURI"":""https://api.labelbox.com/masks/feature/ckmehphax000f30696njwhf7e?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja21lYWZ5NnlwNDFzMDc4OW44bnJvcndnIiwib3JnYW5pemF0aW9uSWQiOiJja21lYWZ5NmkwOTF1MDg0ODNvb3ljdWJ1IiwiaWF0IjoxNjE2MDU3OTg2LCJleHAiOjE2MTg2NDk5ODZ9.BKmAPK55MtbHBZAgqmEBrlfq57CsDHRMLPrdtiYTO0M""}],""classifications"":[]}",rizqipangestu@mail.ugm.ac.id,Cutter,1616048776000,1616048880000,18.389,IMG20210317211913.jpg,-1,-1,,,dataset_cutter,[],https://editor.labelbox.com?project=ckmeapslvgj800731ykk3egdk&label=ckmehpscm000h3069eobchx7c,0
ckmehq6z9000k306934g1o0ze,ckmehi5hx0tnc0rdpb1bjh745,https://storage.labelbox.com/ckmeafy6i091u08483ooycubu%2Ff623be61-c20c-5d39-ccfe-06da66891458-IMG20210317211710.jpg?Expires=1617267586920&KeyName=labelbox-assets-key-1&Signature=sV5frJretgQwGvZdKqaQ-TfQ5O4,"{""objects"":[{""featureId"":""ckmehpu96000i3069iwszooms"",""schemaId"":""ckmehlqhb0a6j0y7e82wedgkf"",""title"":""cutter"",""value"":""cutter"",""color"":""#1CE6FF"",""instanceURI"":""https://api.labelbox.com/masks/feature/ckmehpu96000i3069iwszooms?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja21lYWZ5NnlwNDFzMDc4OW44bnJvcndnIiwib3JnYW5pemF0aW9uSWQiOiJja21lYWZ5NmkwOTF1MDg0ODNvb3ljdWJ1IiwiaWF0IjoxNjE2MDU3OTg2LCJleHAiOjE2MTg2NDk5ODZ9.BKmAPK55MtbHBZAgqmEBrlfq57CsDHRMLPrdtiYTO0M""}],""classifications"":[]}",rizqipangestu@mail.ugm.ac.id,Cutter,1616048795000,1616048882428,17.994,IMG20210317211710.jpg,,-1,,,dataset_cutter,[],https://editor.labelbox.com?project=ckmeapslvgj800731ykk3egdk&label=ckmehq6z9000k306934g1o0ze,0
ckmehqlge000n3069evdeq4pf,ckmehi5hy0tqw0rdp8giogq32,https://storage.labelbox.com/ckmeafy6i091u08483ooycubu%2F96002bb2-1a23-dd89-e6b6-8fcd4c6f9f01-IMG20210317211954.jpg?Expires=1617267586920&KeyName=labelbox-assets-key-1&Signature=6f1XBm_3CU7KqqVTn-leyHFBaeQ,"{""objects"":[{""featureId"":""ckmehq8qz000l3069mwz6ic25"",""schemaId"":""ckmehlqhb0a6j0y7e82wedgkf"",""title"":""cutter"",""value"":""cutter"",""color"":""#1CE6FF"",""instanceURI"":""https://api.labelbox.com/masks/feature/ckmehq8qz000l3069mwz6ic25?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja21lYWZ5NnlwNDFzMDc4OW44bnJvcndnIiwib3JnYW5pemF0aW9uSWQiOiJja21lYWZ5NmkwOTF1MDg0ODNvb3ljdWJ1IiwiaWF0IjoxNjE2MDU3OTg2LCJleHAiOjE2MTg2NDk5ODZ9.BKmAPK55MtbHBZAgqmEBrlfq57CsDHRMLPrdtiYTO0M""}],""classifications"":[]}",rizqipangestu@mail.ugm.ac.id,Cutter,1616048815000,1616048885000,18.345,IMG20210317211954.jpg,-1,-1,,,dataset_cutter,[],https://editor.labelbox.com?project=ckmeapslvgj800731ykk3egdk&label=ckmehqlge000n3069evdeq4pf,0
ckmehr0is000q30697f9bfkzt,ckmehi5hx0tno0rdpfetd5npm,https://storage.labelbox.com/ckmeafy6i091u08483ooycubu%2Ff42a003e-a693-4d0b-df8b-70c90a081ffa-IMG20210317211718.jpg?Expires=1617267586920&KeyName=labelbox-assets-key-1&Signature=_4utyRAMR-cqo9o38jUHTOyefaU,"{""objects"":[{""featureId"":""ckmehqnh1000o30690m67hh7k"",""schemaId"":""ckmehlqhb0a6j0y7e82wedgkf"",""title"":""cutter"",""value"":""cutter"",""color"":""#1CE6FF"",""instanceURI"":""https://api.labelbox.com/masks/feature/ckmehqnh1000o30690m67hh7k?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja21lYWZ5NnlwNDFzMDc4OW44bnJvcndnIiwib3JnYW5pemF0aW9uSWQiOiJja21lYWZ5NmkwOTF1MDg0ODNvb3ljdWJ1IiwiaWF0IjoxNjE2MDU3OTg2LCJleHAiOjE2MTg2NDk5ODZ9.BKmAPK55MtbHBZAgqmEBrlfq57CsDHRMLPrdtiYTO0M""}],""classifications"":[]}",rizqipangestu@mail.ugm.ac.id,Cutter,1616048834000,1616048888030,16.873,IMG20210317211718.jpg,,-1,,,dataset_cutter,[],https://editor.labelbox.com?project=ckmeapslvgj800731ykk3egdk&label=ckmehr0is000q30697f9bfkzt,0
ckmehre7l000t3069vdyhsa7m,ckmehi5hy0tr80rdphkpt4z25,https://storage.labelbox.com/ckmeafy6i091u08483ooycubu%2F46fa569b-22ed-ed69-0791-a66beff67e84-IMG20210317212028.jpg?Expires=1617267586922&KeyName=labelbox-assets-key-1&Signature=esPi7Hk3fnnj0zOLJ8atHNlODCY,"{""objects"":[{""featureId"":""ckmehr2rj000r30697ck46vp8"",""schemaId"":""ckmehlqhb0a6j0y7e82wedgkf"",""title"":""cutter"",""value"":""cutter"",""color"":""#1CE6FF"",""instanceURI"":""https://api.labelbox.com/masks/feature/ckmehr2rj000r30697ck46vp8?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja21lYWZ5NnlwNDFzMDc4OW44bnJvcndnIiwib3JnYW5pemF0aW9uSWQiOiJja21lYWZ5NmkwOTF1MDg0ODNvb3ljdWJ1IiwiaWF0IjoxNjE2MDU3OTg2LCJleHAiOjE2MTg2NDk5ODZ9.BKmAPK55MtbHBZAgqmEBrlfq57CsDHRMLPrdtiYTO0M""}],""classifications"":[]}",rizqipangestu@mail.ugm.ac.id,Cutter,1616048852000,1616048890484,15.717,IMG20210317212028.jpg,,-1,,,dataset_cutter,[],https://editor.labelbox.com?project=ckmeapslvgj800731ykk3egdk&label=ckmehre7l000t3069vdyhsa7m,0
ckmehrr5a000w3069vor1a8cq,ckmehi5hx0to00rdp0hghgo74,https://storage.labelbox.com/ckmeafy6i091u08483ooycubu%2F282f2ffe-28ef-de2e-75b8-efa48c47cca8-IMG20210317211731.jpg?Expires=1617267586922&KeyName=labelbox-assets-key-1&Signature=m90LxfsNilRFqR4vDLe1TroUB0I,"{""objects"":[{""featureId"":""ckmehrg2l000u3069xh66iy3w"",""schemaId"":""ckmehlqhb0a6j0y7e82wedgkf"",""title"":""cutter"",""value"":""cutter"",""color"":""#1CE6FF"",""instanceURI"":""https://api.labelbox.com/masks/feature/ckmehrg2l000u3069xh66iy3w?token=eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJ1c2VySWQiOiJja21lYWZ5NnlwNDFzMDc4OW44bnJvcndnIiwib3JnYW5pemF0aW9uSWQiOiJja21lYWZ5NmkwOTF1MDg0ODNvb3ljdWJ1IiwiaWF0IjoxNjE2MDU3OTg2LCJleHAiOjE2MTg2NDk5ODZ9.BKmAPK55MtbHBZAgqmEBrlfq57CsDHRMLPrdtiYTO0M""}],""classifications"":[]}",rizqipangestu@mail.ugm.ac.id,Cutter,1616048869000,1616048893079,17.515,IMG20210317211731.jpg,,-1,,,dataset_cutter,[],https://editor.labelbox.com?project=ckmeapslvgj800731ykk3egdk&label=ckmehrr5a000w3069vor1a8cq,0
